trade_id,activation_rr,side,entry_time,entry_price,activation_time,activation_price,peak_price,exit_time,exit_price,exit_reason,pnl
1,1.5,short,2025-10-04T19:25:00+00:00,226.521,,220.16708595,226.521,2025-10-05T02:30:00+00:00,230.7569427,TSL,-17.8
2,1.5,long,2025-10-05T02:30:00+00:00,230.806,,237.28010830000002,230.806,2025-10-08T06:40:00+00:00,226.4899278,TSL,-17.8
3,1.5,short,2025-10-08T09:45:00+00:00,220.956,,214.7581842,220.956,2025-10-08T17:15:00+00:00,225.08787719999998,TSL,-17.8
4,1.5,long,2025-10-11T23:20:00+00:00,178.136,,183.1327148,178.136,2025-10-12T00:25:00+00:00,174.80485679999998,TSL,-17.8
5,1.5,long,2025-10-12T02:50:00+00:00,173.772,2025-10-12T04:10:00+00:00,178.64630459999998,180.29,2025-10-12T04:30:00+00:00,179.172202,TSL,28.628838870676997
6,1.5,short,2025-10-12T09:15:00+00:00,180.911,,175.83644645,180.911,2025-10-15T05:10:00+00:00,184.2940357,TSL,-17.8
7,1.5,short,2025-10-15T05:10:00+00:00,204.045,,198.32153774999998,204.045,2025-10-15T08:30:00+00:00,207.86064149999999,TSL,-17.8
8,1.5,long,2025-10-15T09:20:00+00:00,206.018,,211.7968049,206.018,2025-10-15T11:15:00+00:00,202.1654634,TSL,-17.8
9,1.5,short,2025-10-15T11:20:00+00:00,202.939,2025-10-15T15:35:00+00:00,197.24656105,196.713,2025-10-15T15:35:00+00:00,197.93262059999998,TSL,22.530212410973803
10,1.5,short,2025-10-15T16:40:00+00:00,197.533,2025-10-18T16:25:00+00:00,191.99219935,183.354,2025-10-18T17:10:00+00:00,184.4907948,TSL,39.694
11,1.5,long,2025-10-18T20:25:00+00:00,187.283,,192.53628815,187.283,2025-10-19T08:25:00+00:00,183.78080789999999,TSL,-17.8
12,1.5,long,2025-10-19T08:25:00+00:00,185.238,,190.4339259,185.238,2025-10-22T14:30:00+00:00,181.7740494,TSL,-17.8
13,1.5,short,2025-10-22T15:05:00+00:00,184.684,2025-10-22T19:55:00+00:00,179.5036138,177.008,2025-10-22T19:55:00+00:00,178.10544960000001,TSL,32.954344770665855
14,1.5,short,2025-10-22T20:10:00+00:00,180.181,,175.12692295000002,180.181,2025-10-25T14:55:00+00:00,183.55038470000002,TSL,-17.8
15,1.5,short,2025-10-25T14:55:00+00:00,192.511,,187.11106645,192.511,2025-10-29T10:25:00+00:00,196.1109557,TSL,-17.8
16,1.5,long,2025-10-29T10:25:00+00:00,196.296,,201.8021028,196.296,2025-10-29T18:35:00+00:00,192.6252648,TSL,-17.8
17,1.5,long,2025-10-29T18:35:00+00:00,190.2,,195.53510999999997,190.2,2025-11-01T13:25:00+00:00,186.64326,TSL,-17.8
18,1.5,short,2025-11-01T17:15:00+00:00,185.746,2025-11-05T00:40:00+00:00,180.5358247,152.416,2025-11-05T00:40:00+00:00,153.3609792,TSL,39.694
19,1.5,long,2025-11-05T02:05:00+00:00,154.352,2025-11-05T13:35:00+00:00,158.6815736,159.87,2025-11-05T13:55:00+00:00,158.878806,TSL,26.96443866897197
20,1.5,long,2025-11-05T16:10:00+00:00,158.953,,163.41163165,158.953,2025-11-08T15:40:00+00:00,155.9805789,TSL,-17.8
21,1.5,short,2025-11-08T15:40:00+00:00,156.16,,151.779712,156.16,2025-11-12T10:20:00+00:00,159.080192,TSL,-17.8
22,1.5,long,2025-11-12T11:55:00+00:00,159.985,,164.47257925000002,159.985,2025-11-12T15:35:00+00:00,156.99328050000003,TSL,-17.8
23,1.5,long,2025-11-15T13:25:00+00:00,141.78,,145.756929,141.78,2025-11-15T21:40:00+00:00,139.128714,TSL,-17.8
24,1.5,short,2025-11-15T21:55:00+00:00,138.907,,135.01065865,138.907,2025-11-18T22:30:00+00:00,141.5045609,TSL,-17.8
25,1.5,short,2025-11-19T00:25:00+00:00,139.91,,135.9855245,139.91,2025-11-19T02:55:00+00:00,142.526317,TSL,-17.8
26,1.5,long,2025-11-19T02:55:00+00:00,142.127,,146.11366235,142.127,2025-11-19T03:45:00+00:00,139.46922510000002,TSL,-17.8
27,1.5,short,2025-11-19T04:45:00+00:00,138.783,2025-11-22T08:55:00+00:00,134.89013684999998,125.7,2025-11-22T09:05:00+00:00,126.47934000000001,TSL,39.694
28,1.5,short,2025-11-22T12:55:00+00:00,125.773,,122.24506735,125.773,2025-11-22T16:40:00+00:00,128.1249551,TSL,-17.8
29,1.5,long,2025-11-22T18:15:00+00:00,127.889,2025-11-23T04:20:00+00:00,131.47628645,131.85,2025-11-23T04:25:00+00:00,131.03253,TSL,22.445270491292952
30,1.5,long,2025-11-23T05:20:00+00:00,130.608,,134.2715544,130.608,2025-11-23T07:25:00+00:00,128.1656304,TSL,-17.8
31,1.5,short,2025-11-23T07:30:00+00:00,128.325,,124.72548375,128.325,2025-11-23T09:40:00+00:00,130.72467749999998,TSL,-17.8
32,1.5,long,2025-11-23T09:40:00+00:00,130.391,2025-11-24T02:20:00+00:00,134.04846755,134.333,2025-11-24T02:25:00+00:00,133.5001354,TSL,21.74523065283264
33,1.5,long,2025-11-24T02:30:00+00:00,132.73,,136.45307649999998,132.73,2025-11-24T07:15:00+00:00,130.24794899999998,TSL,-17.8
34,1.5,short,2025-11-24T07:15:00+00:00,130.811,,127.14175145,130.811,2025-11-24T16:25:00+00:00,133.2571657,TSL,-17.8
35,1.5,long,2025-11-24T21:25:00+00:00,138.427,,142.30987735,138.427,2025-11-25T08:50:00+00:00,135.8384151,TSL,-17.8
36,1.5,short,2025-11-25T09:05:00+00:00,135.374,,131.5767593,135.374,2025-11-25T17:35:00+00:00,137.9054938,TSL,-17.8
37,1.5,short,2025-11-25T19:10:00+00:00,135.368,,131.5709276,135.368,2025-11-25T20:30:00+00:00,137.8993816,TSL,-17.8
38,1.5,short,2025-11-25T22:20:00+00:00,137.137,,133.29030715,137.137,2025-11-25T23:10:00+00:00,139.7014619,TSL,-17.8
39,1.5,long,2025-11-25T23:55:00+00:00,138.904,,142.8002572,138.904,2025-11-26T09:30:00+00:00,136.3064952,TSL,-17.8
40,1.5,short,2025-11-26T09:30:00+00:00,136.245,,132.42332775,136.245,2025-11-26T17:30:00+00:00,138.79278150000002,TSL,-17.8
41,1.5,long,2025-11-26T18:05:00+00:00,141.311,,145.27477355000002,141.311,2025-11-28T02:15:00+00:00,138.66848430000002,TSL,-17.8
42,1.5,short,2025-11-28T02:15:00+00:00,138.652,,134.76281139999998,138.652,2025-11-28T08:50:00+00:00,141.2447924,TSL,-17.8
43,1.5,long,2025-11-28T08:50:00+00:00,141.165,,145.12467825,141.165,2025-11-28T17:00:00+00:00,138.5252145,TSL,-17.8
44,1.5,short,2025-11-28T17:00:00+00:00,138.193,2025-11-30T23:50:00+00:00,134.31668635,133.635,2025-11-30T23:50:00+00:00,134.463537,TSL,24.73662289943956
45,1.5,short,2025-11-30T23:55:00+00:00,133.398,2025-12-01T00:20:00+00:00,129.65618609999999,129.327,2025-12-01T00:20:00+00:00,130.1288274,TSL,22.375560104686087
46,1.5,short,2025-12-01T00:25:00+00:00,129.909,2025-12-01T04:35:00+00:00,126.26505255,125.74,2025-12-01T06:15:00+00:00,126.519588,TSL,23.883091426030223
47,1.5,short,2025-12-01T12:35:00+00:00,126.169,,122.62995955,126.169,2025-12-02T10:50:00+00:00,128.5283603,TSL,-17.8
48,1.5,long,2025-12-02T10:50:00+00:00,128.204,2025-12-02T14:25:00+00:00,131.8001222,132.0,2025-12-02T14:25:00+00:00,131.1816,TSL,21.15580866523385
49,1.5,short,2025-12-02T20:30:00+00:00,138.632,,134.7433724,138.632,2025-12-03T04:20:00+00:00,141.22441840000002,TSL,-17.8
50,1.5,long,2025-12-03T06:40:00+00:00,142.733,,146.73666065,142.733,2025-12-03T14:00:00+00:00,140.0638929,TSL,-17.8
51,1.5,short,2025-12-03T14:15:00+00:00,140.144,,136.21296080000002,140.144,2025-12-03T14:40:00+00:00,142.7646928,TSL,-17.8
52,1.5,long,2025-12-03T15:15:00+00:00,140.66,2025-12-03T21:55:00+00:00,144.605513,146.045,2025-12-03T21:55:00+00:00,145.139521,TSL,29.361857051288347
53,1.5,long,2025-12-04T00:00:00+00:00,144.619,,148.67556295,144.619,2025-12-04T13:45:00+00:00,141.9146247,TSL,-17.8
54,1.5,short,2025-12-04T13:55:00+00:00,142.177,2025-12-04T19:20:00+00:00,138.18893515,137.717,2025-12-04T19:20:00+00:00,138.57084540000002,TSL,23.191248236597513
55,1.5,short,2025-12-04T19:30:00+00:00,139.078,2025-12-05T14:35:00+00:00,135.1768621,134.825,2025-12-05T14:35:00+00:00,135.660915,TSL,22.435194331377122
56,1.5,long,2025-12-05T16:05:00+00:00,133.65,,137.3988825,133.65,2025-12-05T16:45:00+00:00,131.150745,TSL,-17.8
57,1.5,short,2025-12-05T17:00:00+00:00,132.159,2025-12-07T14:25:00+00:00,128.45194005,128.146,2025-12-07T14:25:00+00:00,128.9405052,TSL,22.229250935097546
58,1.5,short,2025-12-07T14:40:00+00:00,128.412,,124.81004340000001,128.412,2025-12-07T15:55:00+00:00,130.8133044,TSL,-17.8
59,1.5,long,2025-12-07T16:25:00+00:00,130.82,2025-12-07T17:30:00+00:00,134.489501,135.106,2025-12-07T17:30:00+00:00,134.2683428,TSL,24.13893844421909
60,1.5,long,2025-12-07T20:40:00+00:00,135.983,,139.79732315,135.983,2025-12-07T21:45:00+00:00,133.4401179,TSL,-17.8
61,1.5,short,2025-12-07T21:50:00+00:00,132.947,,129.21783665,132.947,2025-12-08T06:45:00+00:00,135.4331089,TSL,-17.8
62,1.5,long,2025-12-08T06:45:00+00:00,135.778,,139.5865729,135.778,2025-12-08T18:55:00+00:00,133.2389514,TSL,-17.8
63,1.5,short,2025-12-08T19:30:00+00:00,134.407,,130.63688365000002,134.407,2025-12-09T15:45:00+00:00,136.9204109,TSL,-17.8
